date,amount,type,category,cash_balance
2026-01-02,15000,credit,Sales,25000
2026-01-03,2200,debit,Inventory,22800
2026-01-04,850,debit,Transport,21950
2026-01-05,1200,debit,Marketing,20750
2026-01-07,9800,credit,Sales,30550
2026-01-09,3000,debit,Rent,27550
2026-01-12,1400,debit,Utilities,26150
2026-01-14,11000,credit,Sales,37150
2026-01-16,2500,debit,Salaries,34650
2026-01-18,950,debit,Internet,33700
2026-01-20,7000,credit,Sales,40700
2026-01-22,1800,debit,Inventory,38900
2026-01-25,900,debit,Transport,38000
2026-01-28,10500,credit,Sales,48500
2026-02-01,3200,debit,Rent,45300
2026-02-03,14500,credit,Sales,59800
2026-02-05,2600,debit,Inventory,57200
2026-02-06,1300,debit,Marketing,55900
2026-02-08,9800,credit,Sales,65700
2026-02-10,2400,debit,Salaries,63300
2026-02-12,1000,debit,Utilities,62300
2026-02-14,11800,credit,Sales,74100
2026-02-16,950,debit,Internet,73150
2026-02-18,1700,debit,Transport,71450
2026-02-21,12500,credit,Sales,83950
2026-02-23,2900,debit,Inventory,81050
2026-02-26,3500,debit,Rent,77550
2026-03-01,16000,credit,Sales,93550
2026-03-03,3100,debit,Inventory,90450
2026-03-05,1400,debit,Marketing,89050
2026-03-06,10200,credit,Sales,99250
2026-03-08,2600,debit,Salaries,96650
2026-03-10,1200,debit,Utilities,95450
2026-03-12,13500,credit,Sales,108950
2026-03-15,1000,debit,Internet,107950
2026-03-18,1900,debit,Transport,106050
2026-03-20,14200,credit,Sales,120250
2026-03-23,3600,debit,Rent,116650
2026-03-25,2800,debit,Inventory,113850
2026-03-28,15000,credit,Sales,128850